"State","Country","report_date","yoy_pct_change"
"Oklahoma","United States",2020-02-24,-0.05
"Oregon","United States",2020-02-24,0.12
"Pennsylvania","United States",2020-02-24,0
"Rhode Island","United States",2020-02-24,0.14
"South Carolina","United States",2020-02-24,0.03
"Tennessee","United States",2020-02-24,-0.09
"Texas","United States",2020-02-24,0
"Utah","United States",2020-02-24,0.04
"Virginia","United States",2020-02-24,0.02
"Washington","United States",2020-02-24,-0.01
"Wisconsin","United States",2020-02-24,0
"New South Wales","Australia",2020-02-25,0.03
"Queensland","Australia",2020-02-25,0.07
"Victoria","Australia",2020-02-25,-0.06
"Alberta","Canada",2020-02-25,0.03
"British Columbia","Canada",2020-02-25,-0.05
"Ontario","Canada",2020-02-25,-0.06
"Quebec","Canada",2020-02-25,0.2
"Baja California Sur","Mexico",2020-02-25,0.06
"Jalisco","Mexico",2020-02-25,-0.04
"Mexico City","Mexico",2020-02-25,-0.02
"Nuevo Leon","Mexico",2020-02-25,-0.12
"Quintana Roo","Mexico",2020-02-25,0.02
"Alabama","United States",2020-02-25,0
"Arizona","United States",2020-02-25,0.05
"California","United States",2020-02-25,0.06
"Colorado","United States",2020-02-25,-0.04
"Connecticut","United States",2020-02-25,0.06
"District of Columbia","United States",2020-02-25,0.08
"Florida","United States",2020-02-25,0.05
"Georgia","United States",2020-02-25,0.02
"Hawaii","United States",2020-02-25,-0.01
"Illinois","United States",2020-02-25,-0.14
"Indiana","United States",2020-02-25,0.03
"Kansas","United States",2020-02-25,-0.03
"Kentucky","United States",2020-02-25,-0.07
"Louisiana","United States",2020-02-25,0.78
"Maryland","United States",2020-02-25,-0.03
"Massachusetts","United States",2020-02-25,0.01
"Michigan","United States",2020-02-25,-0.08
"Minnesota","United States",2020-02-25,0.19
"Missouri","United States",2020-02-25,-0.02
"Nebraska","United States",2020-02-25,0.03
"Nevada","United States",2020-02-25,-0.01
"New Jersey","United States",2020-02-25,-0.07
"New Mexico","United States",2020-02-25,-0.04
"New York","United States",2020-02-25,0.01
"North Carolina","United States",2020-02-25,0.01
"Ohio","United States",2020-02-25,-0.06
"Oklahoma","United States",2020-02-25,0.03
"Oregon","United States",2020-02-25,-0.01
"Pennsylvania","United States",2020-02-25,-0.05
"Rhode Island","United States",2020-02-25,-0.13
"South Carolina","United States",2020-02-25,0.02
"Tennessee","United States",2020-02-25,-0.07
"Texas","United States",2020-02-25,0.09
"Utah","United States",2020-02-25,0.13
"Virginia","United States",2020-02-25,0.02
"Washington","United States",2020-02-25,-0.02
"Wisconsin","United States",2020-02-25,0.09
"New South Wales","Australia",2020-02-26,-0.01
"Queensland","Australia",2020-02-26,0.03
"Victoria","Australia",2020-02-26,-0.08
"Alberta","Canada",2020-02-26,-0.01
"British Columbia","Canada",2020-02-26,0
"Ontario","Canada",2020-02-26,0.05
"Quebec","Canada",2020-02-26,-0.01
"Baja California Sur","Mexico",2020-02-26,0.09
"Jalisco","Mexico",2020-02-26,-0.13
"Mexico City","Mexico",2020-02-26,-0.1
"Nuevo Leon","Mexico",2020-02-26,-0.1
"Quintana Roo","Mexico",2020-02-26,-0.05
"Alabama","United States",2020-02-26,-0.08
"Arizona","United States",2020-02-26,0.01
"California","United States",2020-02-26,0.04
"Colorado","United States",2020-02-26,-0.01
"Connecticut","United States",2020-02-26,0.09
"District of Columbia","United States",2020-02-26,0.08
"Florida","United States",2020-02-26,0.03
"Georgia","United States",2020-02-26,-0.04
"Hawaii","United States",2020-02-26,0.09
"Illinois","United States",2020-02-26,-0.14
"Indiana","United States",2020-02-26,-0.05
"Kansas","United States",2020-02-26,0.05
"Kentucky","United States",2020-02-26,-0.14
"Louisiana","United States",2020-02-26,0.04
"Maryland","United States",2020-02-26,-0.08
"Massachusetts","United States",2020-02-26,0.01
"Michigan","United States",2020-02-26,-0.27
"Minnesota","United States",2020-02-26,-0.01
"Missouri","United States",2020-02-26,-0.11
"Nebraska","United States",2020-02-26,-0.16
"Nevada","United States",2020-02-26,-0.14
"New Jersey","United States",2020-02-26,-0.09
"New Mexico","United States",2020-02-26,0.17
"New York","United States",2020-02-26,-0.01
"North Carolina","United States",2020-02-26,0.05
"Ohio","United States",2020-02-26,-0.22
"Oklahoma","United States",2020-02-26,0.4
"Oregon","United States",2020-02-26,0.15
"Pennsylvania","United States",2020-02-26,-0.03
"Rhode Island","United States",2020-02-26,-0.13
"South Carolina","United States",2020-02-26,0.06
"Tennessee","United States",2020-02-26,-0.11
"Texas","United States",2020-02-26,0
"Utah","United States",2020-02-26,0.15
"Virginia","United States",2020-02-26,-0.05
"Washington","United States",2020-02-26,0.05
"Wisconsin","United States",2020-02-26,-0.04
"New South Wales","Australia",2020-02-27,-0.11
"Queensland","Australia",2020-02-27,0.07
"Victoria","Australia",2020-02-27,-0.12
"Alberta","Canada",2020-02-27,-0.04
"British Columbia","Canada",2020-02-27,-0.04
"Ontario","Canada",2020-02-27,-0.21
"Quebec","Canada",2020-02-27,-0.11
"Baja California Sur","Mexico",2020-02-27,0.1
"Jalisco","Mexico",2020-02-27,-0.16
"Mexico City","Mexico",2020-02-27,-0.08
"Nuevo Leon","Mexico",2020-02-27,0.01
"Quintana Roo","Mexico",2020-02-27,0.03
"Alabama","United States",2020-02-27,-0.03
"Arizona","United States",2020-02-27,0.03
"California","United States",2020-02-27,0.03
"Colorado","United States",2020-02-27,-0.02
"Connecticut","United States",2020-02-27,-0.08
"District of Columbia","United States",2020-02-27,0.01
"Florida","United States",2020-02-27,0.04
"Georgia","United States",2020-02-27,-0.04
"Hawaii","United States",2020-02-27,0.06
"Illinois","United States",2020-02-27,-0.09
"Indiana","United States",2020-02-27,-0.08
"Kansas","United States",2020-02-27,-0.2
"Kentucky","United States",2020-02-27,-0.08
"Louisiana","United States",2020-02-27,-0.15
"Maryland","United States",2020-02-27,-0.01
"Massachusetts","United States",2020-02-27,0.05
"Michigan","United States",2020-02-27,-0.19
"Minnesota","United States",2020-02-27,0.07
"Missouri","United States",2020-02-27,-0.08
"Nebraska","United States",2020-02-27,-0.06
"Nevada","United States",2020-02-27,-0.07
"New Jersey","United States",2020-02-27,-0.08
"New Mexico","United States",2020-02-27,0.03
"New York","United States",2020-02-27,-0.05
"North Carolina","United States",2020-02-27,-0.01
"Ohio","United States",2020-02-27,-0.13
"Oklahoma","United States",2020-02-27,0.01
"Oregon","United States",2020-02-27,0.03
"Pennsylvania","United States",2020-02-27,-0.03
"Rhode Island","United States",2020-02-27,-0.09
"South Carolina","United States",2020-02-27,0.08
"Tennessee","United States",2020-02-27,-0.01
"Texas","United States",2020-02-27,0
"Utah","United States",2020-02-27,0.01
"Virginia","United States",2020-02-27,-0.03
"Washington","United States",2020-02-27,0
"Wisconsin","United States",2020-02-27,-0.01
"New South Wales","Australia",2020-02-28,0.04
"Queensland","Australia",2020-02-28,0.06
"Victoria","Australia",2020-02-28,-0.07
"Alberta","Canada",2020-02-28,0.03
"British Columbia","Canada",2020-02-28,-0.02
"Ontario","Canada",2020-02-28,-0.15
"Quebec","Canada",2020-02-28,-0.1
"Baja California Sur","Mexico",2020-02-28,-0.18
"Jalisco","Mexico",2020-02-28,-0.15
"Mexico City","Mexico",2020-02-28,-0.08
"Nuevo Leon","Mexico",2020-02-28,-0.03
"Quintana Roo","Mexico",2020-02-28,-0.03
"Alabama","United States",2020-02-28,-0.03
"Arizona","United States",2020-02-28,0.02
"California","United States",2020-02-28,0.05
"Colorado","United States",2020-02-28,0
"Connecticut","United States",2020-02-28,-0.01
"District of Columbia","United States",2020-02-28,0.03
"Florida","United States",2020-02-28,0.02
"Georgia","United States",2020-02-28,0.02
"Hawaii","United States",2020-02-28,0.04
"Illinois","United States",2020-02-28,-0.06
"Indiana","United States",2020-02-28,-0.01
"Kansas","United States",2020-02-28,-0.14
"Kentucky","United States",2020-02-28,0
"Louisiana","United States",2020-02-28,-0.1
"Maryland","United States",2020-02-28,0.1
"Massachusetts","United States",2020-02-28,-0.02
"Michigan","United States",2020-02-28,-0.12
"Minnesota","United States",2020-02-28,0.33
"Missouri","United States",2020-02-28,-0.13
"Nebraska","United States",2020-02-28,-0.15
"Nevada","United States",2020-02-28,-0.06
"New Jersey","United States",2020-02-28,0.01
"New Mexico","United States",2020-02-28,0.04
"New York","United States",2020-02-28,-0.02
"North Carolina","United States",2020-02-28,0.03
"Ohio","United States",2020-02-28,-0.15
"Oklahoma","United States",2020-02-28,0.02
"Oregon","United States",2020-02-28,-0.03
"Pennsylvania","United States",2020-02-28,0.01
"Rhode Island","United States",2020-02-28,-0.02
"South Carolina","United States",2020-02-28,0.11
"Tennessee","United States",2020-02-28,0
"Texas","United States",2020-02-28,0.04
"Utah","United States",2020-02-28,0.01
"Virginia","United States",2020-02-28,0.08
"Washington","United States",2020-02-28,0.01
"Wisconsin","United States",2020-02-28,0.09
"New South Wales","Australia",2020-02-29,0.08
"Queensland","Australia",2020-02-29,-0.08
"Victoria","Australia",2020-02-29,-0.04
"Alberta","Canada",2020-02-29,0.02
"British Columbia","Canada",2020-02-29,-0.02
"Ontario","Canada",2020-02-29,-0.08
"Quebec","Canada",2020-02-29,0.01
"Baja California Sur","Mexico",2020-02-29,-0.13
"Jalisco","Mexico",2020-02-29,-0.12
"Mexico City","Mexico",2020-02-29,-0.09
"Nuevo Leon","Mexico",2020-02-29,0.15
"Quintana Roo","Mexico",2020-02-29,0.06
"Alabama","United States",2020-02-29,-0.11
"Arizona","United States",2020-02-29,0.01
"California","United States",2020-02-29,0.09
"Colorado","United States",2020-02-29,0.22
"Connecticut","United States",2020-02-29,0.04
"District of Columbia","United States",2020-02-29,0.02
"Florida","United States",2020-02-29,0
"Georgia","United States",2020-02-29,-0.03
"Hawaii","United States",2020-02-29,-0.02
"Illinois","United States",2020-02-29,0
"Indiana","United States",2020-02-29,0.04
"Kansas","United States",2020-02-29,0.02
"Kentucky","United States",2020-02-29,0.17
"Louisiana","United States",2020-02-29,-0.01
"Maryland","United States",2020-02-29,0
"Massachusetts","United States",2020-02-29,0.26
"Michigan","United States",2020-02-29,-0.06
"Minnesota","United States",2020-02-29,0.01
"Missouri","United States",2020-02-29,0.02
"Nebraska","United States",2020-02-29,0.05
"Nevada","United States",2020-02-29,-0.04
"New Jersey","United States",2020-02-29,0.03
"New Mexico","United States",2020-02-29,0.04
"New York","United States",2020-02-29,-0.01
"North Carolina","United States",2020-02-29,-0.03
"Ohio","United States",2020-02-29,-0.12
"Oklahoma","United States",2020-02-29,0.08
"Oregon","United States",2020-02-29,0.03
"Pennsylvania","United States",2020-02-29,0.01
"Rhode Island","United States",2020-02-29,0.21
"South Carolina","United States",2020-02-29,0.05
"Tennessee","United States",2020-02-29,-0.02
"Texas","United States",2020-02-29,0.06
"Utah","United States",2020-02-29,-0.01
"Virginia","United States",2020-02-29,-0.03
"Washington","United States",2020-02-29,-0.04
"Wisconsin","United States",2020-02-29,0.03
"New South Wales","Australia",2020-03-01,0.05
"Queensland","Australia",2020-03-01,0.1
"Victoria","Australia",2020-03-01,-0.01
"Alberta","Canada",2020-03-01,-0.04
"British Columbia","Canada",2020-03-01,-0.08
"Ontario","Canada",2020-03-01,-0.09
"Quebec","Canada",2020-03-01,0.01
"Baja California Sur","Mexico",2020-03-01,-0.15
"Jalisco","Mexico",2020-03-01,-0.06
"Mexico City","Mexico",2020-03-01,-0.09
"Nuevo Leon","Mexico",2020-03-01,0.07
"Quintana Roo","Mexico",2020-03-01,-0.08
"Alabama","United States",2020-03-01,0.02
"Arizona","United States",2020-03-01,-0.02
"California","United States",2020-03-01,-0.03
"Colorado","United States",2020-03-01,0.26
"Connecticut","United States",2020-03-01,0.13
"District of Columbia","United States",2020-03-01,0.05
"Florida","United States",2020-03-01,-0.05
"Georgia","United States",2020-03-01,0.08
"Hawaii","United States",2020-03-01,-0.02
"Illinois","United States",2020-03-01,0.02
"Indiana","United States",2020-03-01,0.18
"Kansas","United States",2020-03-01,0.69
"Kentucky","United States",2020-03-01,0.19
"Louisiana","United States",2020-03-01,-0.19
"Maryland","United States",2020-03-01,0.25
"Massachusetts","United States",2020-03-01,-0.01
"Michigan","United States",2020-03-01,-0.04
"Minnesota","United States",2020-03-01,-0.01
"Missouri","United States",2020-03-01,0.72
"Nebraska","United States",2020-03-01,-0.02
"Nevada","United States",2020-03-01,-0.15
"New Jersey","United States",2020-03-01,0.1
"New Mexico","United States",2020-03-01,-0.02
"New York","United States",2020-03-01,0
"North Carolina","United States",2020-03-01,0.02
"Ohio","United States",2020-03-01,0.06
"Oklahoma","United States",2020-03-01,0.4
"Oregon","United States",2020-03-01,0.06
"Pennsylvania","United States",2020-03-01,0.3
