"City","report_date","yoy_pct_change","State","Country"
"Indianapolis",2020-03-11,-0.25,"Indiana","United States"
"Louisville",2020-03-11,-0.24,"Kentucky","United States"
"New Orleans",2020-03-11,-0.21,"Louisiana","United States"
"Baltimore",2020-03-11,-0.22,"Maryland","United States"
"Boston",2020-03-11,-0.3,"Massachusetts","United States"
"Minneapolis",2020-03-11,-0.17,"Minnesota","United States"
"Las Vegas",2020-03-11,-0.13,"Nevada","United States"
"New York",2020-03-11,-0.36,"New York","United States"
"Charlotte",2020-03-11,-0.18,"North Carolina","United States"
"Raleigh",2020-03-11,-0.15,"North Carolina","United States"
"Cincinnati",2020-03-11,-0.2,"Ohio","United States"
"Columbus",2020-03-11,-0.19,"Ohio","United States"
"Portland",2020-03-11,-0.2,"Oregon","United States"
"Philadelphia",2020-03-11,-0.16,"Pennsylvania","United States"
"Pittsburgh",2020-03-11,-0.24,"Pennsylvania","United States"
"Nashville",2020-03-11,-0.21,"Tennessee","United States"
"Austin",2020-03-11,-0.3,"Texas","United States"
"Dallas",2020-03-11,-0.12,"Texas","United States"
"Houston",2020-03-11,-0.08,"Texas","United States"
"San Antonio",2020-03-11,-0.27,"Texas","United States"
"Seattle",2020-03-11,-0.54,"Washington","United States"
"Calgary",2020-03-10,-0.08,"Alberta","Canada"
"Edmonton",2020-03-10,-0.14,"Alberta","Canada"
"Vancouver",2020-03-10,-0.06,"British Columbia","Canada"
"Toronto",2020-03-10,-0.21,"Ontario","Canada"
"Montréal",2020-03-10,-0.22,"Quebec","Canada"
"Hamburg",2020-03-10,-0.16,"","Germany"
"München",2020-03-10,-0.19,"","Germany"
"Dublin",2020-03-10,-0.29,"","Ireland"
"Ciudad de México",2020-03-10,-0.16,"Mexico City","Mexico"
"San Pedro Garza García",2020-03-10,0.01,"Nuevo Leon","Mexico"
"London",2020-03-10,-0.23,"","United Kingdom"
"Phoenix",2020-03-10,-0.13,"Arizona","United States"
"Scottsdale",2020-03-10,-0.16,"Arizona","United States"
"Los Angeles",2020-03-10,-0.23,"California","United States"
"San Diego",2020-03-10,-0.34,"California","United States"
"San Francisco",2020-03-10,-0.43,"California","United States"
"Denver",2020-03-10,-0.19,"Colorado","United States"
"Washington",2020-03-10,-0.18,"District of Columbia","United States"
"Fort Lauderdale",2020-03-10,-0.19,"Florida","United States"
"Miami",2020-03-10,-0.15,"Florida","United States"
"Miami Beach",2020-03-10,-0.17,"Florida","United States"
"Naples",2020-03-10,-0.14,"Florida","United States"
"Orlando",2020-03-10,-0.37,"Florida","United States"
"Tampa",2020-03-10,-0.15,"Florida","United States"
"Atlanta",2020-03-10,-0.14,"Georgia","United States"
"Honolulu",2020-03-10,-0.16,"Hawaii","United States"
"Chicago",2020-03-10,-0.23,"Illinois","United States"
"Indianapolis",2020-03-10,-0.2,"Indiana","United States"
"Louisville",2020-03-10,-0.21,"Kentucky","United States"
"New Orleans",2020-03-10,-0.13,"Louisiana","United States"
"Baltimore",2020-03-10,-0.34,"Maryland","United States"
"Boston",2020-03-10,-0.29,"Massachusetts","United States"
"Minneapolis",2020-03-10,-0.14,"Minnesota","United States"
"Las Vegas",2020-03-10,-0.19,"Nevada","United States"
"New York",2020-03-10,-0.3,"New York","United States"
"Charlotte",2020-03-10,-0.12,"North Carolina","United States"
"Raleigh",2020-03-10,-0.18,"North Carolina","United States"
"Cincinnati",2020-03-10,-0.13,"Ohio","United States"
"Columbus",2020-03-10,-0.19,"Ohio","United States"
"Portland",2020-03-10,-0.07,"Oregon","United States"
"Philadelphia",2020-03-10,-0.14,"Pennsylvania","United States"
"Pittsburgh",2020-03-10,-0.31,"Pennsylvania","United States"
"Nashville",2020-03-10,-0.07,"Tennessee","United States"
