"State","report_date","yoy_pct_change","Country"
"Texas",2020-03-09,-0.21,"United States"
"Utah",2020-03-09,-0.18,"United States"
"Victoria",2020-03-09,-0.11,"Australia"
"Virginia",2020-03-09,-0.04,"United States"
"Washington",2020-03-09,-0.3,"United States"
"Alabama",2020-03-08,-0.1,"United States"
"Alberta",2020-03-08,-0.07,"Canada"
"Arizona",2020-03-08,-0.03,"United States"
"Baja California Sur",2020-03-08,-0.11,"Mexico"
"British Columbia",2020-03-08,-0.06,"Canada"
"California",2020-03-08,-0.05,"United States"
"Colorado",2020-03-08,-0.06,"United States"
"Connecticut",2020-03-08,0,"United States"
"District of Columbia",2020-03-08,0,"United States"
"Florida",2020-03-08,-0.05,"United States"
"Georgia",2020-03-08,0.07,"United States"
"Hawaii",2020-03-08,-0.09,"United States"
"Illinois",2020-03-08,0.04,"United States"
"Indiana",2020-03-08,0.04,"United States"
"Jalisco",2020-03-08,-0.04,"Mexico"
"Kansas",2020-03-08,-0.09,"United States"
"Kentucky",2020-03-08,0.03,"United States"
"Louisiana",2020-03-08,-0.02,"United States"
"Maryland",2020-03-08,-0.01,"United States"
"Massachusetts",2020-03-08,0.13,"United States"
"Mexico City",2020-03-08,-0.1,"Mexico"
"Michigan",2020-03-08,0.01,"United States"
"Minnesota",2020-03-08,0.13,"United States"
"Missouri",2020-03-08,-0.1,"United States"
"Nebraska",2020-03-08,-0.04,"United States"
"Nevada",2020-03-08,-0.07,"United States"
"New Jersey",2020-03-08,0.1,"United States"
"New Mexico",2020-03-08,-0.21,"United States"
"New South Wales",2020-03-08,0,"Australia"
"New York",2020-03-08,-0.02,"United States"
"North Carolina",2020-03-08,-0.07,"United States"
"Nuevo Leon",2020-03-08,-0.04,"Mexico"
"Ohio",2020-03-08,-0.06,"United States"
"Oklahoma",2020-03-08,-0.1,"United States"
"Ontario",2020-03-08,0,"Canada"
"Oregon",2020-03-08,0,"United States"
"Pennsylvania",2020-03-08,0.02,"United States"
"Quebec",2020-03-08,0.34,"Canada"
"Queensland",2020-03-08,-0.03,"Australia"
"Quintana Roo",2020-03-08,-0.05,"Mexico"
